Iterations [0/25500], Train Loss: 1.001415, Validation Loss: 1.000758
Iterations [10/25500], Train Loss: 0.998528, Validation Loss: 0.997252
Iterations [20/25500], Train Loss: 0.992480, Validation Loss: 0.992196
Iterations [30/25500], Train Loss: 0.991629, Validation Loss: 0.990416
Iterations [40/25500], Train Loss: 0.990094, Validation Loss: 0.990619
Iterations [50/25500], Train Loss: 0.989266, Validation Loss: 0.989227
Iterations [60/25500], Train Loss: 0.988408, Validation Loss: 0.988803
Iterations [70/25500], Train Loss: 0.987195, Validation Loss: 0.988527
Iterations [80/25500], Train Loss: 0.987635, Validation Loss: 0.987067
Iterations [90/25500], Train Loss: 0.987023, Validation Loss: 0.986028
Iterations [100/25500], Train Loss: 0.986044, Validation Loss: 0.983820
Iterations [110/25500], Train Loss: 0.985096, Validation Loss: 0.984802
Iterations [120/25500], Train Loss: 0.982886, Validation Loss: 0.984128
Iterations [130/25500], Train Loss: 0.983011, Validation Loss: 0.982048
Iterations [140/25500], Train Loss: 0.982049, Validation Loss: 0.980642
Iterations [150/25500], Train Loss: 0.980495, Validation Loss: 0.980431
Iterations [160/25500], Train Loss: 0.978368, Validation Loss: 0.978440
Iterations [170/25500], Train Loss: 0.979501, Validation Loss: 0.978323
Iterations [180/25500], Train Loss: 0.976303, Validation Loss: 0.976652
Iterations [190/25500], Train Loss: 0.976831, Validation Loss: 0.977106
Iterations [200/25500], Train Loss: 0.974495, Validation Loss: 0.974790
Iterations [210/25500], Train Loss: 0.972828, Validation Loss: 0.971797
Iterations [220/25500], Train Loss: 0.972253, Validation Loss: 0.971838
Iterations [230/25500], Train Loss: 0.968789, Validation Loss: 0.968548
Iterations [240/25500], Train Loss: 0.967266, Validation Loss: 0.971119
Iterations [250/25500], Train Loss: 0.967201, Validation Loss: 0.969082
Iterations [260/25500], Train Loss: 0.965777, Validation Loss: 0.964332
Iterations [270/25500], Train Loss: 0.964722, Validation Loss: 0.962304
Iterations [280/25500], Train Loss: 0.964087, Validation Loss: 0.961414
Iterations [290/25500], Train Loss: 0.961182, Validation Loss: 0.957968
Iterations [300/25500], Train Loss: 0.958749, Validation Loss: 0.957719
Iterations [310/25500], Train Loss: 0.954490, Validation Loss: 0.957817
Iterations [320/25500], Train Loss: 0.955727, Validation Loss: 0.955683
Iterations [330/25500], Train Loss: 0.951738, Validation Loss: 0.953797
Iterations [340/25500], Train Loss: 0.949830, Validation Loss: 0.949916
Iterations [350/25500], Train Loss: 0.948715, Validation Loss: 0.948050
Iterations [360/25500], Train Loss: 0.946962, Validation Loss: 0.948251
Iterations [370/25500], Train Loss: 0.943539, Validation Loss: 0.944696
Iterations [380/25500], Train Loss: 0.941907, Validation Loss: 0.945795
Iterations [390/25500], Train Loss: 0.943258, Validation Loss: 0.942916
Iterations [400/25500], Train Loss: 0.938447, Validation Loss: 0.940663
Iterations [410/25500], Train Loss: 0.937721, Validation Loss: 0.938788
Iterations [420/25500], Train Loss: 0.935316, Validation Loss: 0.936105
Iterations [430/25500], Train Loss: 0.934164, Validation Loss: 0.935157
Iterations [440/25500], Train Loss: 0.933793, Validation Loss: 0.933126
Iterations [450/25500], Train Loss: 0.931071, Validation Loss: 0.930726
Iterations [460/25500], Train Loss: 0.931786, Validation Loss: 0.929147
Iterations [470/25500], Train Loss: 0.930707, Validation Loss: 0.934010
Iterations [480/25500], Train Loss: 0.923950, Validation Loss: 0.925525
Iterations [490/25500], Train Loss: 0.925226, Validation Loss: 0.925738
Iterations [500/25500], Train Loss: 0.922742, Validation Loss: 0.926352
Iterations [510/25500], Train Loss: 0.922719, Validation Loss: 0.924478
Iterations [520/25500], Train Loss: 0.920884, Validation Loss: 0.921621
Iterations [530/25500], Train Loss: 0.917721, Validation Loss: 0.915321
Iterations [540/25500], Train Loss: 0.916347, Validation Loss: 0.916372
Iterations [550/25500], Train Loss: 0.912455, Validation Loss: 0.917798
Iterations [560/25500], Train Loss: 0.910619, Validation Loss: 0.913194
Iterations [570/25500], Train Loss: 0.911515, Validation Loss: 0.909353
Iterations [580/25500], Train Loss: 0.908658, Validation Loss: 0.903517
Iterations [590/25500], Train Loss: 0.906376, Validation Loss: 0.908590
Iterations [600/25500], Train Loss: 0.905269, Validation Loss: 0.902613
Iterations [610/25500], Train Loss: 0.899009, Validation Loss: 0.903781
Iterations [620/25500], Train Loss: 0.900163, Validation Loss: 0.899559
Iterations [630/25500], Train Loss: 0.895104, Validation Loss: 0.896630
Iterations [640/25500], Train Loss: 0.898172, Validation Loss: 0.896622
Iterations [650/25500], Train Loss: 0.896541, Validation Loss: 0.890602
Iterations [660/25500], Train Loss: 0.893894, Validation Loss: 0.891580
Iterations [670/25500], Train Loss: 0.891320, Validation Loss: 0.889343
Iterations [680/25500], Train Loss: 0.885918, Validation Loss: 0.893421
Iterations [690/25500], Train Loss: 0.889601, Validation Loss: 0.886430
Iterations [700/25500], Train Loss: 0.883970, Validation Loss: 0.886535
Iterations [710/25500], Train Loss: 0.887586, Validation Loss: 0.883502
Iterations [720/25500], Train Loss: 0.886504, Validation Loss: 0.878003
Iterations [730/25500], Train Loss: 0.875698, Validation Loss: 0.877921
Iterations [740/25500], Train Loss: 0.876795, Validation Loss: 0.877746
Iterations [750/25500], Train Loss: 0.873124, Validation Loss: 0.872957
Iterations [760/25500], Train Loss: 0.871355, Validation Loss: 0.871775
Iterations [770/25500], Train Loss: 0.866813, Validation Loss: 0.876059
Iterations [780/25500], Train Loss: 0.866622, Validation Loss: 0.869551
Iterations [790/25500], Train Loss: 0.866419, Validation Loss: 0.867896
Iterations [800/25500], Train Loss: 0.864720, Validation Loss: 0.864070
Iterations [810/25500], Train Loss: 0.861053, Validation Loss: 0.863504
Iterations [820/25500], Train Loss: 0.863504, Validation Loss: 0.864640
Iterations [830/25500], Train Loss: 0.865903, Validation Loss: 0.861097
Iterations [840/25500], Train Loss: 0.854717, Validation Loss: 0.862301
Iterations [850/25500], Train Loss: 0.852942, Validation Loss: 0.849945
Iterations [860/25500], Train Loss: 0.860333, Validation Loss: 0.858950
Iterations [870/25500], Train Loss: 0.855623, Validation Loss: 0.852298
Iterations [880/25500], Train Loss: 0.853778, Validation Loss: 0.845443
Iterations [890/25500], Train Loss: 0.844888, Validation Loss: 0.848998
Iterations [900/25500], Train Loss: 0.847030, Validation Loss: 0.847346
Iterations [910/25500], Train Loss: 0.842563, Validation Loss: 0.847236
Iterations [920/25500], Train Loss: 0.838834, Validation Loss: 0.847730
Iterations [930/25500], Train Loss: 0.843941, Validation Loss: 0.844506
Iterations [940/25500], Train Loss: 0.840931, Validation Loss: 0.847986
Iterations [950/25500], Train Loss: 0.828829, Validation Loss: 0.844120
Iterations [960/25500], Train Loss: 0.836639, Validation Loss: 0.843000
Iterations [970/25500], Train Loss: 0.835505, Validation Loss: 0.831071
Iterations [980/25500], Train Loss: 0.829922, Validation Loss: 0.838577
Iterations [990/25500], Train Loss: 0.824656, Validation Loss: 0.827309
Iterations [1000/25500], Train Loss: 0.829029, Validation Loss: 0.830436
Iterations [1010/25500], Train Loss: 0.830369, Validation Loss: 0.823619
Iterations [1020/25500], Train Loss: 0.828949, Validation Loss: 0.821403
Iterations [1030/25500], Train Loss: 0.817921, Validation Loss: 0.834396
Iterations [1040/25500], Train Loss: 0.819673, Validation Loss: 0.825840
Iterations [1050/25500], Train Loss: 0.808802, Validation Loss: 0.821751
Iterations [1060/25500], Train Loss: 0.827879, Validation Loss: 0.810530
Iterations [1070/25500], Train Loss: 0.815915, Validation Loss: 0.808721
